objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739707405763659,4646,40,3,80,1099,6,205.34110942,28.38020763,23.03289,21.563602,21.013731,20.788279,20.650187,0.485325,0.050811,0.045056,0.055632,0.203324
587739707405763660,4646,40,3,80,1100,6,205.34169836,28.38100259,24.954271,23.491306,22.574375,22.081173,21.549427,1.040741,0.248165,0.166282,0.168891,0.420887
587739707405763665,4646,40,3,80,1105,6,205.34737144,28.39844429,20.678083,19.096218,18.510117,18.324411,18.165068,0.072287,9.914191E-3,8.582847E-3,9.743868E-3,0.026571
587739707405763666,4646,40,3,80,1106,6,205.34536769,28.39726647,22.352398,21.442467,20.939734,20.750265,20.758026,0.281421,0.046983,0.043875,0.055834,0.231498
587739707405763667,4646,40,3,80,1107,3,205.34622971,28.39703648,24.706944,22.301247,21.652699,21.474602,20.904224,1.175464,0.098847,0.082886,0.110096,0.27481
587739707405763669,4646,40,3,80,1109,6,205.34541942,28.3842963,20.477425,19.596365,19.339109,19.249725,19.24925,0.062271,0.013074,0.013709,0.01732,0.062549
587739707405763670,4646,40,3,80,1110,6,205.3448133,28.38558249,21.250364,20.627052,20.276243,20.183117,20.319201,0.112629,0.02541,0.025965,0.0347,0.156176
587739707405763699,4646,40,3,80,1139,6,205.34853426,28.38589658,20.216633,19.283016,19.024637,18.933601,18.994791,0.051134,0.010877,0.011288,0.013863,0.049982
587739707405763700,4646,40,3,80,1140,6,205.35076223,28.3840334,21.534386,20.686388,20.279207,20.141874,20.113113,0.140745,0.026462,0.025977,0.033447,0.130163
587739707405763701,4646,40,3,80,1141,3,205.35209518,28.38273856,23.948519,21.594675,21.009253,20.674919,21.01795,1.067082,0.059108,0.053042,0.06128,0.336325
587739707405763702,4646,40,3,80,1142,3,205.34952959,28.38452026,25.325256,22.449446,21.707649,21.063524,21.305174,1.095607,0.12389,0.096942,0.088197,0.436792
587739707405763703,4646,40,3,80,1143,6,205.35085592,28.38575266,24.944145,22.851797,21.766144,21.429602,21.221678,1.07309,0.14773,0.086456,0.099555,0.339874
587739707405763704,4646,40,3,80,1144,6,205.35234389,28.38359201,23.967617,23.606922,22.337147,22.141108,22.296196,0.952513,0.282486,0.14272,0.186791,0.694373
587739707405763705,4646,40,3,80,1145,6,205.35413119,28.38237975,24.14035,23.361259,22.293512,22.286015,22.538607,0.979482,0.225063,0.13207,0.202485,0.721981
587739707405763707,4646,40,3,80,1147,6,205.35346032,28.40825643,20.972754,20.047113,19.726028,19.643579,19.553083,0.088606,0.017639,0.018439,0.023064,0.078594
587739707405763717,4646,40,3,80,1157,6,205.34519509,28.35362065,20.95639,19.960249,19.665495,19.59763,19.689331,0.087837,0.016159,0.016696,0.021891,0.089939
587739707405763718,4646,40,3,80,1158,6,205.34604503,28.355183,20.853802,20.04619,19.742331,19.637745,19.705807,0.080529,0.017016,0.017462,0.022233,0.089962
587739707405763719,4646,40,3,80,1159,6,205.34660399,28.35303567,21.180019,20.289583,19.950811,19.825363,19.954136,0.104092,0.019818,0.020109,0.025641,0.111613
587739707405763720,4646,40,3,80,1160,6,205.34340383,28.35507966,21.692141,20.636005,20.291033,20.187983,20.096323,0.155905,0.025357,0.025615,0.033764,0.125774
587739707405763721,4646,40,3,80,1161,6,205.34463009,28.36004784,22.16099,20.760103,20.399551,20.212961,20.420994,0.231463,0.027354,0.027771,0.034546,0.166263
587739707405763722,4646,40,3,80,1162,6,205.34424476,28.35626083,21.721121,20.709785,20.299568,20.151302,20.392708,0.160884,0.026383,0.025774,0.032897,0.162505
587739707405763723,4646,40,3,80,1163,6,205.343764,28.35890952,23.752142,22.849472,22.084429,21.82947,22.070709,0.800345,0.144761,0.108606,0.134816,0.596892
587739707405763724,4646,40,3,80,1164,6,205.34435956,28.3592006,25.231026,24.281305,22.553158,21.991228,21.431971,1.046571,0.472208,0.180331,0.174611,0.431147
587739707405763732,4646,40,3,80,1172,6,205.35271253,28.39907387,24.138865,20.482243,19.02356,18.167002,17.682198,1.00433,0.023007,0.011413,9.016514E-3,0.019072
587739707405763733,4646,40,3,80,1173,6,205.35430008,28.39990344,23.21513,22.836819,22.119444,21.533606,21.884859,0.606593,0.16059,0.125897,0.118729,0.602783
587739707405763734,4646,40,3,80,1174,6,205.35381767,28.40083043,22.692698,22.966541,23.198147,22.704166,22.191759,0.357673,0.162161,0.278985,0.284638,0.635117
587739707405763744,4646,40,3,80,1184,6,205.35500791,28.40594831,20.851049,19.888069,19.603889,19.536434,19.694904,0.080844,0.015449,0.016178,0.020827,0.088628
587739707405763745,4646,40,3,80,1185,6,205.35545807,28.40480442,22.019297,20.728844,20.427822,20.284523,20.286404,0.206664,0.027046,0.028823,0.037036,0.148916
587739707405763746,4646,40,3,80,1186,6,205.35237363,28.39257192,21.434189,20.420788,20.100603,19.963503,20.045176,0.130206,0.022745,0.02348,0.029727,0.123092
587739707405763758,4646,40,3,80,1198,6,205.34953655,28.36397623,21.282658,20.440552,20.108952,19.970928,20.056252,0.114891,0.022172,0.022765,0.029122,0.123671
587739707405763759,4646,40,3,80,1199,6,205.34975293,28.36584916,21.482119,20.689974,20.364527,20.207876,20.435774,0.131901,0.026064,0.027047,0.034366,0.168135
587739707405763762,4646,40,3,80,1202,6,205.35913487,28.41036095,19.729216,18.792233,18.493223,18.342594,18.385088,0.036632,8.447355E-3,8.531629E-3,9.794771E-3,0.030864
587739707405763763,4646,40,3,80,1203,6,205.35885558,28.40736425,20.645082,19.716337,19.458117,19.377924,19.321365,0.069551,0.014186,0.014723,0.01863,0.06488
587739707405763764,4646,40,3,80,1204,3,205.35875662,28.40617317,21.972828,21.139633,20.657404,20.507849,20.433775,0.231417,0.040964,0.039381,0.052513,0.201394
587739707405763765,4646,40,3,80,1205,6,205.35936906,28.41170575,23.696323,24.5742,22.855762,21.478508,20.891924,0.763495,0.500278,0.212748,0.100002,0.24797
587739707405763766,4646,40,3,80,1206,6,205.35792771,28.40925914,24.044115,22.518591,21.724749,21.774754,21.319664,0.934245,0.111826,0.081256,0.129334,0.352145
587739707405763767,4646,40,3,80,1207,6,205.35847169,28.40976118,24.356672,23.256197,22.512665,21.914253,22.382551,1.067363,0.212745,0.165125,0.151986,0.707556
587739707405763768,4646,40,3,80,1208,3,205.35730405,28.40877252,24.265207,22.700146,22.319395,21.786995,20.916048,1.144613,0.14128,0.153332,0.15129,0.289588
587739707405763770,4646,40,3,80,1210,6,205.35789007,28.40363358,20.259483,19.310482,19.017319,18.967348,19.00794,0.052289,0.011056,0.011276,0.014123,0.050287
587739707405763771,4646,40,3,80,1211,6,205.35642747,28.40268658,23.519705,22.147665,21.707382,21.455496,21.694275,0.71208,0.084726,0.083085,0.103092,0.498025
587739707405763773,4646,40,3,80,1213,6,205.35285256,28.375442,20.072983,19.011431,18.733583,18.655193,18.659662,0.046456,9.807831E-3,9.806269E-3,0.011832,0.038331
587739707405763774,4646,40,3,80,1214,6,205.34973855,28.35765896,20.633904,19.677319,19.407892,19.296299,19.326138,0.068156,0.01367,0.014392,0.017641,0.065104
587739707405763782,4646,40,3,80,1222,6,205.35948989,28.40007821,21.931158,20.9048,20.56249,20.425186,20.711834,0.193401,0.031785,0.03255,0.041946,0.218708
587739707405763784,4646,40,3,80,1224,6,205.35400723,28.37015914,20.490625,19.606983,19.296371,19.223455,19.238453,0.063132,0.013167,0.013368,0.017078,0.062752
587739707405763785,4646,40,3,80,1225,6,205.35532524,28.36977606,23.267708,21.897575,21.276503,20.940281,20.801893,0.576862,0.065258,0.055453,0.062885,0.232043
587739707405763786,4646,40,3,80,1226,6,205.35272943,28.3621407,20.388092,19.426702,19.130653,19.076448,19.083473,0.057699,0.012064,0.012166,0.015385,0.053715
587739707405763787,4646,40,3,80,1227,6,205.35269998,28.35820005,21.186953,20.279436,19.875828,19.755423,19.885548,0.114815,0.021512,0.021574,0.028086,0.11819
587739707405763790,4646,40,3,80,1230,6,205.35321664,28.35278556,20.152061,19.220781,18.947977,18.905441,18.889805,0.048362,0.010456,0.010727,0.013485,0.045741
587739707405763791,4646,40,3,80,1231,6,205.35253569,28.35088107,20.390274,19.428192,19.142044,19.034603,19.020258,0.057161,0.011742,0.012022,0.014738,0.051114
587739707405763792,4646,40,3,80,1232,6,205.35606574,28.35552998,21.314449,20.313042,19.938164,19.850985,19.897963,0.116292,0.020388,0.019981,0.026096,0.105873
587739707405763793,4646,40,3,80,1233,6,205.35770011,28.35237051,21.434494,20.472919,20.13658,20.037436,20.088755,0.12816,0.022792,0.023071,0.030383,0.126137
587739707405763794,4646,40,3,80,1234,6,205.35740381,28.35404953,21.447218,20.526173,20.194408,20.015665,20.071547,0.12977,0.023648,0.024139,0.030048,0.125522
587739707405763795,4646,40,3,80,1235,6,205.35632009,28.35129362,22.188519,21.292158,20.829561,20.705734,20.496611,0.237922,0.04088,0.038474,0.05143,0.177793
587739707405763796,4646,40,3,80,1236,6,205.35648894,28.34959596,23.486616,22.495754,21.558384,21.147335,20.915081,0.723762,0.115992,0.075704,0.082525,0.280876
587739707405763797,4646,40,3,80,1237,6,205.35473503,28.35118849,24.568382,22.887342,22.214703,22.085257,21.711992,1.082494,0.149147,0.121147,0.16745,0.472971
587739707405763798,4646,40,3,80,1238,6,205.35527192,28.35020143,25.059015,23.838736,22.549458,22.174778,21.276926,1.031045,0.321108,0.161069,0.18131,0.341945
587739707405763804,4646,40,3,80,1244,6,205.35964647,28.38184136,20.354923,19.364536,19.080008,18.973999,19.020927,0.060046,0.011741,0.012134,0.015143,0.055856
587739707405763806,4646,40,3,80,1246,6,205.35824566,28.38199562,25.737329,24.588152,22.713598,22.251104,22.212614,0.695652,0.501837,0.18705,0.193828,0.639489
587739707405763807,4646,40,3,80,1247,6,205.35644271,28.3637969,20.82757,20.019651,19.710142,19.609602,19.653408,0.079275,0.017501,0.017845,0.021988,0.085594
587739707405763819,4646,40,3,80,1259,6,205.35962815,28.37192193,21.360563,20.370766,20.028456,19.938063,19.792368,0.121179,0.021913,0.021889,0.028562,0.09713
587739707405763833,4646,40,3,80,1273,6,205.35763587,28.35989184,21.036333,20.060511,19.743286,19.638769,19.706749,0.093792,0.017473,0.017661,0.022732,0.091809
587739707405763834,4646,40,3,80,1274,3,205.35853513,28.36143247,23.179819,23.691216,22.148577,21.768032,21.330051,0.650922,0.355171,0.142737,0.162977,0.44971
587739707405763835,4646,40,3,80,1275,6,205.35773723,28.36209366,23.976183,22.853163,22.594507,22.074434,22.296682,0.938883,0.149595,0.174748,0.173965,0.693786
587739707405763836,4646,40,3,80,1276,6,205.36633077,28.40295414,21.404707,20.300419,20.04208,19.898979,20.056414,0.124991,0.020838,0.022038,0.027643,0.122519
587739707405763862,4646,40,3,80,1302,6,205.3730122,28.42147609,19.821962,18.805262,18.452686,18.315973,18.261814,0.03883,8.686788E-3,8.531007E-3,9.775678E-3,0.028686
587739707405763865,4646,40,3,80,1305,6,205.35777645,28.3442517,20.462797,19.664959,19.402515,19.3053,19.331011,0.060608,0.013634,0.014057,0.017578,0.066052
587739707405763866,4646,40,3,80,1306,6,205.35894112,28.34369361,20.846863,19.910627,19.592278,19.506529,19.381456,0.080134,0.015659,0.015863,0.020196,0.068489
587739707405763867,4646,40,3,80,1307,6,205.35731768,28.34217863,21.562416,20.443569,20.078222,19.953045,19.753653,0.141732,0.022273,0.022062,0.028393,0.094837
587739707405763868,4646,40,3,80,1308,6,205.35693408,28.34508376,23.172972,22.067894,21.296722,21.153391,21.395775,0.529941,0.074805,0.056117,0.074855,0.374887
587739707405763869,4646,40,3,80,1309,6,205.3592935,28.34278811,23.914606,23.832945,23.46026,22.32988,22.815397,0.886197,0.31914,0.341931,0.20708,0.742861
587739707405763870,4646,40,3,80,1310,6,205.36008853,28.34490468,25.243515,23.389675,22.595695,22.462273,21.297503,0.953631,0.226294,0.167466,0.230864,0.351002
587739707405763871,4646,40,3,80,1311,6,205.35616277,28.34167989,25.45084,24.590765,22.723717,22.335623,21.64407,0.856916,0.499169,0.186686,0.207402,0.452723
587739707405763873,4646,40,3,80,1313,6,205.36167041,28.36278126,22.084806,20.9554,20.476976,20.449072,20.09693,0.219996,0.031922,0.029739,0.042397,0.127636
587739707405763874,4646,40,3,80,1314,6,205.3595396,28.36348215,25.597347,23.93392,21.985384,21.154884,20.338596,0.82945,0.370306,0.106462,0.081141,0.166143
587739707405763875,4646,40,3,80,1315,6,205.36076805,28.36272375,24.267431,23.03096,22.102901,21.865196,21.522184,1.043245,0.171275,0.111911,0.140911,0.417579
587739707405763876,4646,40,3,80,1316,6,205.35971121,28.36435176,24.430748,25.012041,22.666712,21.580378,20.733984,1.168704,0.608862,0.197871,0.121058,0.241192
